id,publication_date,title
10.1371/journal.pone.0108449,2014-09-24,Biomass Enzymatic Saccharification Is Determined by the Non-KOH-Extractable Wall Polymer Features That Predominately Affect Cellulose Crystallinity in Corn
10.1371/journal.ppat.1003804,2014-02-06,Viral Enhancer Mimicry of Host Innate-Immune Promoters
10.1371/journal.pbio.1001779,2014-01-28,Troubleshooting Public Data Archiving: Suggestions to Increase Participation
10.1371/journal.pone.0107965,2014-09-19,Plasmodium falciparum Malaria in Children Aged 0-2 Years: The Role of Foetal Haemoglobin and Maternal Antibodies to Two Asexual Malaria Vaccine Candidates (MSP3 and GLURP)
10.1371/journal.pone.0101310,2014-06-30,A Comparison of Cytotoxicity and Oxidative Stress from Welding Fumes Generated with a New Nickel-, Copper-Based Consumable versus Mild and Stainless Steel-Based Welding in RAW 264.7 Mouse Macrophages
10.1371/journal.pbio.1001785,2014-02-18,A Helping Hand during t-Testing Times
10.1371/journal.pone.0106565,2014-09-10,Dog Movie Stars and Dog Breed Popularity: A Case Study in Media Influence on Choice
10.1371/journal.pone.0107709,2014-10-01,Strepsiptera, Phylogenomics and the Long Branch Attraction Problem
10.1371/journal.pone.0108402,2014-10-01,Immune Suppressive Effect of Cinnamaldehyde Due to Inhibition of Proliferation and Induction of Apoptosis in Immune Cells: Implications in Cancer
10.1371/journal.pone.0061937,2013-04-29,Discovery of Trypanosomatid Parasites in Globally Distributed Drosophila Species
10.1371/journal.pone.0102609,2014-07-22,Nutrient Addition Dramatically Accelerates Microbial Community Succession
10.1371/journal.pone.0074770,2013-09-11,Fashion vs. Function in Cultural Evolution: The Case of Dog Breed Popularity
10.1371/journal.pone.0099554,2014-07-09,Wild Western Lowland Gorillas Signal Selectively Using Odor
10.1371/journal.pone.0104965,2014-08-27,Simulated Cytoskeletal Collapse via Tau Degradation
10.1371/journal.pone.0095431,2014-04-29,Perceptions of Others' Political Affiliation Are Moderated by Individual Perceivers' Own Political Attitudes
10.1371/journal.pone.0106630,2014-09-08,The Evolution of Tyrosine-Recombinase Elements in Nematoda
10.1371/journal.pone.0105148,2014-08-19,Central Venous-To-Arterial CO2-Gap May Increase in Severe Isovolemic Anemia
10.1371/journal.pone.0099825,2014-06-18,ClinicalCodes: An Online Clinical Codes Repository to Improve the Validity and Reproducibility of Research Using Electronic Medical Records
10.1371/journal.pone.0108100,2014-09-17,Comparing the Effects of Nocturnal Sleep and Daytime Napping on Declarative Memory Consolidation
